anio,trimestre,provincia,accesos por cada 100 hogares,variacion de los accesos por cada 100 hogares
2014,1,Buenos Aires,54.57,0.0
2014,1,Capital Federal,112.25,0.0
2014,1,Catamarca,24.25,0.0
2014,1,Chaco,20.72,0.0
2014,1,Chubut,41.24,0.0
2014,1,Córdoba,52.52,0.0
2014,1,Corrientes,22.32,0.0
2014,1,Entre Ríos,34.37,0.0
2014,1,Formosa,17.42,0.0
2014,1,Jujuy,18.42,0.0
2014,1,La Pampa,48.43,0.0
2014,1,La Rioja,16.29,0.0
2014,1,Mendoza,31.91,0.0
2014,1,Misiones,23.14,0.0
2014,1,Neuquén,49.79,0.0
2014,1,Río Negro,44.91,0.0
2014,1,Salta,28.7,0.0
2014,1,San Juan,27.6,0.0
2014,1,San Luis,9.35,0.0
2014,1,Santa Cruz,28.94,0.0
2014,1,Santa Fe,47.85,0.0
2014,1,Santiago Del Estero,16.31,0.0
2014,1,Tierra Del Fuego,63.97,0.0
2014,1,Tucumán,33.42,0.0
2014,2,Buenos Aires,55.06,0.008979292651640103
2014,2,Capital Federal,113.14,0.007928730512249516
2014,2,Catamarca,24.7,0.01855670103092777
2014,2,Chaco,20.96,0.011583011583011782
2014,2,Chubut,41.41,0.0041222114451986425
2014,2,Córdoba,53.45,0.017707539984767706
2014,2,Corrientes,22.58,0.011648745519713177
2014,2,Entre Ríos,34.69,0.00931044515565893
2014,2,Formosa,17.54,0.006888633754305262
2014,2,Jujuy,18.71,0.01574375678610207
2014,2,La Pampa,49.71,0.026429898823043585
2014,2,La Rioja,16.5,0.012891344383057168
2014,2,Mendoza,32.1,0.005954246317768863
2014,2,Misiones,23.37,0.009939498703543714
2014,2,Neuquén,50.84,0.0210885720024101
2014,2,Río Negro,45.33,0.009352037408149716
2014,2,Salta,28.91,0.007317073170731714
2014,2,San Juan,27.78,0.006521739130434856
2014,2,San Luis,9.72,0.039572192513369187
2014,2,Santa Cruz,29.38,0.01520387007601931
2014,2,Santa Fe,48.39,0.011285266457680132
2014,2,Santiago Del Estero,16.7,0.02391171060698971
2014,2,Tierra Del Fuego,64.36,0.006096607784899177
2014,2,Tucumán,33.94,0.015559545182525225
2014,3,Buenos Aires,56.75,0.030693788594260862
2014,3,Capital Federal,113.8,0.005833480643450573
2014,3,Catamarca,24.71,0.00040485829959524544
2014,3,Chaco,21.11,0.007156488549618256
2014,3,Chubut,40.6,-0.019560492634629223
2014,3,Córdoba,54.23,0.014593077642656604
2014,3,Corrientes,22.79,0.009300265721877699
2014,3,Entre Ríos,34.98,0.00835975785528964
2014,3,Formosa,17.77,0.013112884834663552
2014,3,Jujuy,18.37,-0.018172100481026132
2014,3,La Pampa,55.78,0.12210822772078056
2014,3,La Rioja,16.51,0.000606060606060721
2014,3,Mendoza,32.31,0.006542056074766434
2014,3,Misiones,23.57,0.008557980316645342
2014,3,Neuquén,56.4,0.1093627065302909
2014,3,Río Negro,46.2,0.019192587690271434
2014,3,Salta,29.22,0.010722933241092969
2014,3,San Juan,27.85,0.002519798416126706
2014,3,San Luis,9.71,-0.0010288065843621075
2014,3,Santa Cruz,28.23,-0.0391422736555479
2014,3,Santa Fe,49.2,0.01673899566026038
2014,3,Santiago Del Estero,16.49,-0.012574850299401197
2014,3,Tierra Del Fuego,65.69,0.020665009322560657
2014,3,Tucumán,33.94,0.0
2014,4,Buenos Aires,56.09,-0.01162995594713645
2014,4,Capital Federal,114.9,0.009666080843585334
2014,4,Catamarca,25.51,0.032375556454876664
2014,4,Chaco,21.87,0.03600189483657035
2014,4,Chubut,40.25,-0.008620689655172487
2014,4,Córdoba,54.7,0.008666789599852676
2014,4,Corrientes,23.56,0.03378674857393582
2014,4,Entre Ríos,36.03,0.030017152658662116
2014,4,Formosa,17.96,0.010692177827799743
2014,4,Jujuy,19.6,0.06695699510070763
2014,4,La Pampa,51.27,-0.08085335245607739
2014,4,La Rioja,17.01,0.03028467595396722
2014,4,Mendoza,32.64,0.01021355617455888
2014,4,Misiones,24.16,0.025031820110309688
2014,4,Neuquén,52.55,-0.06826241134751776
2014,4,Río Negro,45.48,-0.0155844155844157
2014,4,Salta,29.53,0.010609171800136874
2014,4,San Juan,28.04,0.006822262118491906
2014,4,San Luis,9.79,0.008238928939237722
2014,4,Santa Cruz,27.8,-0.0152320226709175
2014,4,Santa Fe,50.0,0.016260162601625883
2014,4,Santiago Del Estero,17.27,0.047301394784718065
2014,4,Tierra Del Fuego,66.14,0.006850357740904256
2014,4,Tucumán,35.32,0.040659988214496234
2015,1,Buenos Aires,56.37,0.004991977179532814
2015,1,Capital Federal,114.9,0.0
2015,1,Catamarca,25.11,-0.01568012544100361
2015,1,Chaco,26.65,0.2185642432556012
2015,1,Chubut,37.61,-0.0655900621118013
2015,1,Córdoba,54.7,0.0
2015,1,Corrientes,28.95,0.22877758913412571
2015,1,Entre Ríos,42.07,0.1676380793782959
2015,1,Formosa,18.12,0.008908685968819663
2015,1,Jujuy,19.69,0.004591836734693766
2015,1,La Pampa,55.51,0.08269943436707616
2015,1,La Rioja,16.7,-0.018224573780129427
2015,1,Mendoza,32.37,-0.008272058823529549
2015,1,Misiones,26.31,0.08899006622516548
2015,1,Neuquén,51.95,-0.011417697431017948
2015,1,Río Negro,45.33,-0.0032981530343008103
2015,1,Salta,30.01,0.01625465628174738
2015,1,San Juan,27.55,-0.01747503566333808
2015,1,San Luis,9.72,-0.007150153217568844
2015,1,Santa Cruz,27.99,0.006834532374100588
2015,1,Santa Fe,50.24,0.0048000000000001375
2015,1,Santiago Del Estero,17.06,-0.012159814707585426
2015,1,Tierra Del Fuego,74.23,0.12231629876020578
2015,1,Tucumán,35.08,-0.006795016987542479
2015,2,Buenos Aires,56.8,0.007628171012950213
2015,2,Capital Federal,116.07,0.010182767624020705
2015,2,Catamarca,25.45,0.013540422142572783
2015,2,Chaco,27.46,0.03039399624765493
2015,2,Chubut,36.58,-0.027386333421962283
2015,2,Córdoba,55.87,0.021389396709323494
2015,2,Corrientes,29.58,0.021761658031087983
2015,2,Entre Ríos,42.93,0.020442120275731
2015,2,Formosa,18.36,0.013245033112582627
2015,2,Jujuy,20.29,0.030472320975114098
2015,2,La Pampa,56.71,0.02161772653575933
2015,2,La Rioja,16.88,0.010778443113772518
2015,2,Mendoza,32.49,0.003707136237256936
2015,2,Misiones,27.35,0.039528696313189116
2015,2,Neuquén,53.12,0.022521655437921062
2015,2,Río Negro,45.98,0.014339289653650944
2015,2,Salta,30.46,0.01499500166611134
2015,2,San Juan,27.64,0.0032667876588021727
2015,2,San Luis,9.71,-0.0010288065843621075
2015,2,Santa Cruz,27.07,-0.032868881743479794
2015,2,Santa Fe,51.18,0.018710191082802474
2015,2,Santiago Del Estero,17.11,0.0029308323563892458
2015,2,Tierra Del Fuego,74.51,0.003772059814091344
2015,2,Tucumán,35.69,0.017388825541619246
2015,3,Buenos Aires,57.69,0.01566901408450705
2015,3,Capital Federal,118.29,0.019126389247867692
2015,3,Catamarca,25.86,0.016110019646365492
2015,3,Chaco,27.96,0.018208302986161717
2015,3,Chubut,36.81,0.006287588846364267
2015,3,Córdoba,57.08,0.02165741900841245
2015,3,Corrientes,30.17,0.019945909398242145
2015,3,Entre Ríos,43.68,0.01747030048916831
2015,3,Formosa,18.84,0.026143790849673332
2015,3,Jujuy,21.27,0.04829965500246436
2015,3,La Pampa,57.96,0.022041967906894833
2015,3,La Rioja,17.15,0.015995260663506983
2015,3,Mendoza,32.49,0.0
2015,3,Misiones,28.31,0.03510054844606936
2015,3,Neuquén,54.6,0.027861445783132543
2015,3,Río Negro,46.39,0.008916920400174
2015,3,Salta,31.18,0.023637557452396596
2015,3,San Juan,27.67,0.0010853835021709113
2015,3,San Luis,9.71,0.0
2015,3,Santa Cruz,27.61,0.019948282231252223
2015,3,Santa Fe,52.15,0.018952715904650308
2015,3,Santiago Del Estero,17.12,0.0005844535359440517
2015,3,Tierra Del Fuego,74.86,0.004697356059589319
2015,3,Tucumán,36.61,0.02577752871952943
2015,4,Buenos Aires,58.29,0.010400416016640657
2015,4,Capital Federal,118.13,-0.0013526079972948635
2015,4,Catamarca,26.24,0.014694508894044889
2015,4,Chaco,28.35,0.013948497854077369
2015,4,Chubut,36.89,0.0021733224667208617
2015,4,Córdoba,57.36,0.004905395935529189
2015,4,Corrientes,30.34,0.005634736493205006
2015,4,Entre Ríos,44.11,0.00984432234432231
2015,4,Formosa,19.07,0.01220806794055207
2015,4,Jujuy,21.47,0.009402914903620108
2015,4,La Pampa,58.76,0.013802622498274575
2015,4,La Rioja,17.32,0.009912536443148712
2015,4,Mendoza,32.49,0.0
2015,4,Misiones,28.69,0.01342281879194629
2015,4,Neuquén,58.29,0.06758241758241756
2015,4,Río Negro,46.44,0.001077818495365257
2015,4,Salta,31.59,0.013149454778704328
2015,4,San Juan,27.66,-0.0003614022406939199
2015,4,San Luis,9.71,0.0
2015,4,Santa Cruz,27.74,0.004708438971387174
2015,4,Santa Fe,52.61,0.008820709491850431
2015,4,Santiago Del Estero,17.0,-0.007009345794392607
2015,4,Tierra Del Fuego,66.46,-0.11220945765428814
2015,4,Tucumán,37.06,0.0122917235727944
2016,1,Buenos Aires,57.34,-0.016297821238634325
2016,1,Capital Federal,115.16,-0.025141792939981422
2016,1,Catamarca,25.91,-0.012576219512195008
2016,1,Chaco,28.08,-0.009523809523809601
2016,1,Chubut,36.09,-0.021686093792355532
2016,1,Córdoba,55.28,-0.036262203626220346
2016,1,Corrientes,30.08,-0.00856954515491104
2016,1,Entre Ríos,43.85,-0.005894355021537012
2016,1,Formosa,19.04,-0.0015731515469323831
2016,1,Jujuy,21.41,-0.0027945971122496083
2016,1,La Pampa,57.84,-0.015656909462219093
2016,1,La Rioja,16.83,-0.028290993071593662
2016,1,Mendoza,32.12,-0.011388119421360532
2016,1,Misiones,28.37,-0.011153712094806534
2016,1,Neuquén,55.75,-0.04357522731171726
2016,1,Río Negro,45.84,-0.012919896640826711
2016,1,Salta,31.32,-0.008547008547008517
2016,1,San Juan,27.33,-0.011930585683297301
2016,1,San Luis,9.59,-0.012358393408856916
2016,1,Santa Cruz,26.87,-0.03136265320836329
2016,1,Santa Fe,51.28,-0.025280364949629264
2016,1,Santiago Del Estero,16.21,-0.04647058823529404
2016,1,Tierra Del Fuego,65.83,-0.009479386096900355
2016,1,Tucumán,36.72,-0.00917431192660556
2016,2,Buenos Aires,59.34,0.03487966515521457
2016,2,Capital Federal,120.04,0.04237582493921499
2016,2,Catamarca,26.07,0.006175221922037899
2016,2,Chaco,28.59,0.01816239316239332
2016,2,Chubut,36.12,0.0008312551953448821
2016,2,Córdoba,57.55,0.04106367583212722
2016,2,Corrientes,30.58,0.0166223404255319
2016,2,Entre Ríos,44.74,0.02029646522234896
2016,2,Formosa,19.37,0.017331932773109404
2016,2,Jujuy,21.89,0.022419430172816446
2016,2,La Pampa,60.44,0.04495159059474396
2016,2,La Rioja,16.88,0.002970885323826611
2016,2,Mendoza,32.13,0.0003113325031134373
2016,2,Misiones,29.24,0.030666196686640834
2016,2,Neuquén,59.1,0.06008968609865484
2016,2,Río Negro,46.24,0.008726003490401313
2016,2,Salta,32.08,0.024265644955300036
2016,2,San Juan,27.34,0.00036589828027810967
2016,2,San Luis,9.6,0.0010427528675702735
2016,2,Santa Cruz,26.73,-0.005210271678451783
2016,2,Santa Fe,52.44,0.02262090483619339
2016,2,Santiago Del Estero,15.89,-0.019740900678593465
2016,2,Tierra Del Fuego,67.72,0.02871031444630101
2016,2,Tucumán,37.24,0.014161220043573008
2016,3,Buenos Aires,60.14,0.013481631277384443
2016,3,Capital Federal,120.77,0.006081306231256134
2016,3,Catamarca,26.48,0.015726889144610734
2016,3,Chaco,28.91,0.011192724728926295
2016,3,Chubut,36.18,0.0016611295681063787
2016,3,Córdoba,58.24,0.011989574283232107
2016,3,Corrientes,31.07,0.01602354480052326
2016,3,Entre Ríos,45.44,0.015645954403218587
2016,3,Formosa,18.64,-0.037687145069695394
2016,3,Jujuy,22.61,0.032891731384193656
2016,3,La Pampa,61.73,0.021343481138319076
2016,3,La Rioja,17.07,0.011255924170616272
2016,3,Mendoza,32.09,-0.0012449424214129312
2016,3,Misiones,29.91,0.02291381668946646
2016,3,Neuquén,60.21,0.01878172588832494
2016,3,Río Negro,46.39,0.0032439446366780977
2016,3,Salta,32.96,0.02743142144638422
2016,3,San Juan,27.32,-0.000731528895391298
2016,3,San Luis,9.63,0.0031250000000000444
2016,3,Santa Cruz,26.84,0.00411522633744843
2016,3,Santa Fe,52.67,0.004385964912280826
2016,3,Santiago Del Estero,15.33,-0.03524229074889873
2016,3,Tierra Del Fuego,68.94,0.01801535735380977
2016,3,Tucumán,37.9,0.01772287862513422
2016,4,Buenos Aires,61.24,0.018290655138011314
2016,4,Capital Federal,120.63,-0.0011592282851701219
2016,4,Catamarca,26.54,0.0022658610271901747
2016,4,Chaco,28.79,-0.0041508128675199485
2016,4,Chubut,36.07,-0.003040353786622374
2016,4,Córdoba,57.7,-0.009271978021977989
2016,4,Corrientes,30.98,-0.0028966849050531263
2016,4,Entre Ríos,45.21,-0.005061619718309762
2016,4,Formosa,19.85,0.06491416309012887
2016,4,Jujuy,22.65,0.0017691287041132764
2016,4,La Pampa,63.02,0.020897456666126857
2016,4,La Rioja,16.46,-0.03573520796719387
2016,4,Mendoza,32.11,0.000623247117481851
2016,4,Misiones,29.72,-0.006352390504847927
2016,4,Neuquén,60.87,0.010961634280019839
2016,4,Río Negro,46.39,0.0
2016,4,Salta,32.69,-0.0081917475728156
2016,4,San Juan,27.29,-0.001098096632503709
2016,4,San Luis,9.64,0.0010384215991692258
2016,4,Santa Cruz,27.05,0.007824143070044753
2016,4,Santa Fe,52.19,-0.009113347256502813
2016,4,Santiago Del Estero,15.07,-0.016960208741030658
2016,4,Tierra Del Fuego,70.31,0.019872352770525126
2016,4,Tucumán,37.98,0.0021108179419524475
2017,1,Buenos Aires,58.57,-0.04359895493141741
2017,1,Capital Federal,108.37,-0.10163309292879041
2017,1,Catamarca,25.66,-0.033157498116051176
2017,1,Chaco,28.62,-0.005904828065300349
2017,1,Chubut,35.66,-0.011366786803437834
2017,1,Córdoba,57.65,-0.0008665511265165682
2017,1,Corrientes,30.94,-0.0012911555842478606
2017,1,Entre Ríos,44.91,-0.006635700066357053
2017,1,Formosa,19.84,-0.0005037783375315685
2017,1,Jujuy,22.76,0.004856512141280467
2017,1,La Pampa,62.67,-0.005553792446842287
2017,1,La Rioja,16.2,-0.015795868772782606
2017,1,Mendoza,31.84,-0.008408595453129886
2017,1,Misiones,29.52,-0.006729475100942128
2017,1,Neuquén,61.02,0.002464268112370771
2017,1,Río Negro,46.03,-0.007760293166630738
2017,1,Salta,32.58,-0.003364943407769938
2017,1,San Juan,27.04,-0.009160864785635714
2017,1,San Luis,9.55,-0.009336099585062207
2017,1,Santa Cruz,26.52,-0.019593345656192307
2017,1,Santa Fe,51.97,-0.004215366928530306
2017,1,Santiago Del Estero,14.7,-0.024552090245520963
2017,1,Tierra Del Fuego,68.92,-0.019769591807708764
2017,1,Tucumán,37.9,-0.002106371774618143
2017,2,Buenos Aires,56.27,-0.039269250469523564
2017,2,Capital Federal,124.06,0.14478176617144967
2017,2,Catamarca,25.98,0.01247077162899446
2017,2,Chaco,29.05,0.015024458420684894
2017,2,Chubut,35.55,-0.003084688726864848
2017,2,Córdoba,58.97,0.02289679098005215
2017,2,Corrientes,31.39,0.014544279250161551
2017,2,Entre Ríos,45.39,0.010688042752171167
2017,2,Formosa,19.97,0.0065524193548387455
2017,2,Jujuy,22.4,-0.015817223198594133
2017,2,La Pampa,63.49,0.013084410403702007
2017,2,La Rioja,16.2,0.0
2017,2,Mendoza,31.76,-0.002512562814070307
2017,2,Misiones,30.09,0.019308943089430874
2017,2,Neuquén,61.91,0.014585381842018963
2017,2,Río Negro,46.02,-0.0002172496198131757
2017,2,Salta,32.74,0.0049109883364029105
2017,2,San Juan,26.96,-0.002958579881656709
2017,2,San Luis,9.51,-0.004188481675392763
2017,2,Santa Cruz,26.25,-0.010180995475113086
2017,2,Santa Fe,52.27,0.005772561092938222
2017,2,Santiago Del Estero,14.12,-0.039455782312925125
2017,2,Tierra Del Fuego,68.46,-0.00667440510737094
2017,2,Tucumán,38.19,0.007651715039577844
2017,3,Buenos Aires,55.63,-0.011373733783543671
2017,3,Capital Federal,121.86,-0.017733354828308956
2017,3,Catamarca,32.49,0.2505773672055427
2017,3,Chaco,29.98,0.03201376936316702
2017,3,Chubut,46.22,0.3001406469760901
2017,3,Córdoba,62.31,0.0566389689672715
2017,3,Corrientes,32.17,0.02484867792290535
2017,3,Entre Ríos,45.96,0.012557832121612655
2017,3,Formosa,21.35,0.06910365548322495
2017,3,Jujuy,22.65,0.01116071428571419
2017,3,La Pampa,69.14,0.08899039218774618
2017,3,La Rioja,51.47,2.1771604938271607
2017,3,Mendoza,35.7,0.12405541561712852
2017,3,Misiones,30.21,0.003988035892322994
2017,3,Neuquén,60.83,-0.01744467775803582
2017,3,Río Negro,48.52,0.05432420686657968
2017,3,Salta,39.84,0.21686010995723892
2017,3,San Juan,32.37,0.20066765578635004
2017,3,San Luis,15.48,0.6277602523659307
2017,3,Santa Cruz,33.29,0.2681904761904761
2017,3,Santa Fe,60.91,0.16529558063898975
2017,3,Santiago Del Estero,35.12,1.4872521246458925
2017,3,Tierra Del Fuego,65.74,-0.039731229915279
2017,3,Tucumán,39.7,0.03953914637339628
2017,4,Buenos Aires,57.61,0.03559230630954513
2017,4,Capital Federal,122.9,0.008534383719021932
2017,4,Catamarca,28.62,-0.11911357340720219
2017,4,Chaco,30.81,0.027685123415610358
2017,4,Chubut,51.46,0.11337083513630475
2017,4,Córdoba,63.33,0.016369764082811766
2017,4,Corrientes,32.52,0.010879701585327917
2017,4,Entre Ríos,47.89,0.04199303742384686
2017,4,Formosa,21.27,-0.0037470725995316645
2017,4,Jujuy,22.74,0.003973509933774766
2017,4,La Pampa,71.05,0.02762510847555677
2017,4,La Rioja,51.57,0.0019428793471925054
2017,4,Mendoza,33.33,-0.06638655462184884
2017,4,Misiones,31.14,0.030784508440913516
2017,4,Neuquén,61.24,0.006740095347690378
2017,4,Río Negro,49.38,0.017724649629018874
2017,4,Salta,39.8,-0.0010040160642571516
2017,4,San Juan,30.3,-0.06394810009267826
2017,4,San Luis,10.59,-0.31589147286821706
2017,4,Santa Cruz,28.91,-0.13157104235506156
2017,4,Santa Fe,61.71,0.013134132326383163
2017,4,Santiago Del Estero,29.13,-0.17055808656036442
2017,4,Tierra Del Fuego,59.89,-0.08898691816245807
2017,4,Tucumán,39.9,0.005037783375314797
2018,1,Buenos Aires,62.63,0.08713764971359139
2018,1,Capital Federal,106.24,-0.13555736371033367
2018,1,Catamarca,32.79,0.1457023060796645
2018,1,Chaco,30.83,0.0006491398896462108
2018,1,Chubut,53.72,0.04391760590750082
2018,1,Córdoba,63.52,0.00300015790304764
2018,1,Corrientes,32.66,0.004305043050430335
2018,1,Entre Ríos,48.68,0.0164961369805805
2018,1,Formosa,21.4,0.00611189468735307
2018,1,Jujuy,23.12,0.01671064204045747
2018,1,La Pampa,71.75,0.009852216748768461
2018,1,La Rioja,51.44,-0.0025208454527826385
2018,1,Mendoza,37.07,0.11221122112211224
2018,1,Misiones,30.96,-0.00578034682080919
2018,1,Neuquén,61.52,0.004572175048987548
2018,1,Río Negro,49.82,0.008910490076954103
2018,1,Salta,39.78,-0.0005025125628139726
2018,1,San Juan,32.61,0.07623762376237608
2018,1,San Luis,15.15,0.4305949008498584
2018,1,Santa Cruz,33.55,0.16049809754410238
2018,1,Santa Fe,62.28,0.00923675255226053
2018,1,Santiago Del Estero,34.99,0.20116718159972558
2018,1,Tierra Del Fuego,65.2,0.08866254800467521
2018,1,Tucumán,41.18,0.032080200501253264
2018,2,Buenos Aires,62.78,0.002395018361807333
2018,2,Capital Federal,106.53,0.0027296686746989263
2018,2,Catamarca,32.86,0.002134797194266458
2018,2,Chaco,31.25,0.013623094388582668
2018,2,Chubut,54.9,0.02196574832464626
2018,2,Córdoba,63.27,-0.003935768261964734
2018,2,Corrientes,33.81,0.03521126760563398
2018,2,Entre Ríos,49.2,0.010682004930156141
2018,2,Formosa,29.43,0.37523364485981325
2018,2,Jujuy,23.43,0.013408304498269796
2018,2,La Pampa,71.04,-0.009895470383275207
2018,2,La Rioja,50.98,-0.008942457231726264
2018,2,Mendoza,36.97,-0.0026975991367683694
2018,2,Misiones,31.63,0.021640826873384977
2018,2,Neuquén,60.24,-0.020806241872561748
2018,2,Río Negro,50.15,0.006623845845042053
